tournament_year,round_64,round_32,sweet_16,elite_8,final_4,championship_game,champion
2016,Kansas,Kansas,Kansas,Kansas,Villanova,Villanova,Villanova
2016,Villanova,Connecticut,Maryland,Villanova,Oklahoma,North Carolina,
2016,Miami,Maryland,Miami (FL),Oregon,North Carolina,,
2016,California,Hawaii,Villanova,Oklahoma,Syracuse,,
2016,Maryland,Wichita State,Oregon,North Carolina,,,
2016,Arizona,Miami (FL),Duke,Notre Dame,,,
2016,Iowa,Iowa,Texas A&M,Virginia,,,
2016,Colorado,Villanova,Oklahoma,Syracuse,,,
2016,Connecticut,Oregon,North Carolina,,,,
2016,Temple,Saint Joseph's,Indiana,,,,
2016,Wichita State,Yale,Notre Dame,,,,
2016,South Dakota State,Duke,Wisconsin,,,,
2016,Hawaii,Northern Iowa,Virginia,,,,
2016,Buffalo,Texas A&M,Iowa State,,,,
2016,UNC Asheville,VCU,Gonzaga,,,,
2016,Austin Peay,Oklahoma,Syracuse,,,,
2016,Oregon,North Carolina,,,,,
2016,Oklahoma,Providence,,,,,
2016,Texas A&M,Indiana,,,,,
2016,Duke,Kentucky,,,,,
2016,Baylor,Notre Dame,,,,,
2016,Texas,Stephen F. Austin,,,,,
2016,Oregon State,Wisconsin,,,,,
2016,Saint Joseph's,Xavier,,,,,
2016,Cincinnati,Virginia,,,,,
2016,VCU,Butler,,,,,
2016,Northern Iowa,Arkansas-Little Rock,,,,,
2016,Yale,Iowa State,,,,,
2016,UNC Wilmington,Gonzaga,,,,,
2016,Green Bay,Utah,,,,,
2016,Cal State Bakersfield,Syracuse,,,,,
2016,Holy Cross,Middle Tennessee,,,,,
2016,North Carolina,,,,,,
2016,Xavier,,,,,,
2016,West Virginia,,,,,,
2016,Kentucky,,,,,,
2016,Indiana,,,,,,
2016,Notre Dame,,,,,,
2016,Wisconsin,,,,,,
2016,USC,,,,,,
2016,Providence,,,,,,
2016,Pittsburgh,,,,,,
2016,Michigan,,,,,,
2016,Chattanooga,,,,,,
2016,Stony Brook,,,,,,
2016,Stephen F. Austin,,,,,,
2016,Weber State,,,,,,
2016,Florida Gulf Coast,,,,,,
2016,Virginia,,,,,,
2016,Michigan State,,,,,,
2016,Utah,,,,,,
2016,Iowa State,,,,,,
2016,Purdue,,,,,,
2016,Seton Hall,,,,,,
2016,Dayton,,,,,,
2016,Texas Tech,,,,,,
2016,Butler,,,,,,
2016,Syracuse,,,,,,
2016,Gonzaga,,,,,,
2016,Arkansas-Little Rock,,,,,,
2016,Iona,,,,,,
2016,Fresno State,,,,,,
2016,Middle Tennessee,,,,,,
2016,Hampton,,,,,,
